iter	Passed	Remaining
413	3962	823
414	3971	813
415	3979	803
416	3989	793
417	3998	784
418	4007	774
419	4015	764
420	4024	755
421	4033	745
422	4042	735
423	4051	726
424	4060	716
425	4069	706
426	4077	697
427	4086	687
428	4095	677
429	4104	668
430	4113	658
431	4122	648
432	4131	639
433	4140	629
434	4148	619
435	4157	610
436	4166	600
437	4175	591
438	4184	581
439	4193	571
440	4202	562
441	4212	552
442	4221	543
443	4230	533
444	4239	523
445	4248	514
446	4257	504
447	4266	495
448	4276	485
449	4284	476
450	4293	466
451	4302	456
452	4311	447
453	4320	437
454	4329	428
455	4338	418
456	4347	409
457	4356	399
458	4366	389
459	4375	380
460	4384	370
461	4393	361
462	4402	351
463	4411	342
464	4421	332
465	4430	323
466	4439	313
467	4448	304
468	4456	294
469	4466	285
470	4475	275
471	4484	266
472	4493	256
473	4502	246
474	4511	237
475	4520	227
476	4529	218
477	4537	208
478	4546	199
479	4555	189
480	4563	180
481	4572	170
482	4580	161
483	4589	151
484	4599	142
485	4608	132
486	4616	123
487	4625	113
488	4634	104
489	4643	94
490	4652	85
491	4662	75
492	4673	66
493	4682	56
494	4693	47
495	4702	37
496	4711	28
497	4721	18
498	4729	9
499	4739	0
